sido,sigungu,age,2019,2020,2021,2022,2023,2024,2025
서울,서대문구,60대,596,702,432,163,241,366,438
서울,서대문구,70대이상,299,346,237,89,93,206,266
서울,서대문구,기타,588,623,312,231,247,146,140
서울,마포구,합계,5200,6618,4646,2350,2797,4248,6378
서울,마포구,20대이하,277,437,439,238,168,196,227
서울,마포구,30대,1397,1880,1336,553,843,1249,1992
서울,마포구,40대,1353,1614,976,405,680,1211,1842
서울,마포구,50대,1027,1260,744,406,533,894,1197
서울,마포구,60대,577,635,388,217,267,412,554
서울,마포구,70대이상,226,268,225,110,116,174,251
서울,마포구,기타,343,524,538,421,190,112,315
서울,양천구,합계,6618,9136,6253,2423,2872,4258,6093
서울,양천구,20대이하,268,587,569,281,149,183,330
서울,양천구,30대,1403,1998,1487,554,714,1070,1662
서울,양천구,40대,2005,2420,1509,529,877,1378,2035
서울,양천구,50대,1405,1780,1105,438,520,805,1034
서울,양천구,60대,782,1062,727,277,319,474,637
서울,양천구,70대이상,293,472,376,154,155,219,309
서울,양천구,기타,462,817,480,190,138,129,86
서울,강서구,합계,7902,12394,9583,4863,4175,5634,7310
서울,강서구,20대이하,373,637,787,561,270,287,272
서울,강서구,30대,1846,3654,2768,1116,1219,1638,2347
서울,강서구,40대,1966,2889,2223,930,926,1362,1791
서울,강서구,50대,1595,2120,1632,893,800,1055,1216
서울,강서구,60대,1098,1514,1118,621,533,737,795
서울,강서구,70대이상,394,586,539,328,245,334,538
서울,강서구,기타,630,994,516,414,182,221,351
서울,구로구,합계,6036,9137,6225,3038,2653,3539,4964
서울,구로구,20대이하,243,455,454,198,123,141,180
서울,구로구,30대,1374,2408,1661,505,767,1006,1537
서울,구로구,40대,1288,1897,1049,474,520,830,1103
서울,구로구,50대,1082,1607,932,427,491,739,807
서울,구로구,60대,742,1191,649,302,332,468,565
서울,구로구,70대이상,361,581,334,175,143,247,308
서울,구로구,기타,946,998,1146,957,277,108,464
서울,금천구,합계,3876,4245,3871,2152,1521,1828,2061
서울,금천구,20대이하,161,196,248,174,94,100,108
서울,금천구,30대,615,725,777,384,344,479,503
서울,금천구,40대,695,784,678,320,301,332,458
서울,금천구,50대,791,831,810,389,340,419,419
서울,금천구,60대,471,564,477,265,217,307,304
서울,금천구,70대이상,206,263,238,102,68,118,129
서울,금천구,기타,937,882,643,518,157,73,140
서울,영등포구,합계,4505,5960,3637,1715,2802,3972,5691
서울,영등포구,20대이하,193,290,269,103,121,134,190
서울,영등포구,30대,1231,1816,1111,347,809,1285,2123
서울,영등포구,40대,958,1230,716,283,563,1015,1436
서울,영등포구,50대,857,1045,575,284,454,779,954
서울,영등포구,60대,565,778,331,148,238,414,515
서울,영등포구,70대이상,227,272,196,71,117,186,291
서울,영등포구,기타,474,529,439,479,500,159,182
서울,동작구,합계,5139,6711,5073,2147,2767,4313,6800
서울,동작구,20대이하,175,313,301,192,186,190,230
서울,동작구,30대,1267,1734,1224,466,786,1274,2153
서울,동작구,40대,1145,1486,984,340,619,1106,1774
서울,동작구,50대,1030,1182,835,364,505,822,1158
서울,동작구,60대,590,749,542,208,305,520,691
서울,동작구,70대이상,343,393,375,137,170,289,473
서울,동작구,기타,589,854,812,440,196,112,321
서울,관악구,합계,5500,6746,5386,2677,2732,3337,4383
서울,관악구,20대이하,260,388,434,238,142,139,185
서울,관악구,30대,1174,1615,1326,531,573,800,1278
서울,관악구,40대,1376,1381,1018,446,483,715,952
서울,관악구,50대,1196,1443,1031,492,491,701,858
서울,관악구,60대,809,1018,684,344,333,439,532
서울,관악구,70대이상,382,469,377,209,162,230,317
서울,관악구,기타,303,432,516,417,548,313,261
서울,서초구,합계,4807,6078,5009,2103,2429,4322,4776
서울,서초구,20대이하,164,224,306,155,97,140,159
서울,서초구,30대,1039,1388,1196,451,638,999,1095
서울,서초구,40대,1461,1843,1331,489,842,1617,1715
서울,서초구,50대,970,1038,750,343,455,828,916
서울,서초구,60대,482,653,392,192,207,371,494
서울,서초구,70대이상,268,288,260,144,118,256,274
서울,서초구,기타,423,644,774,329,72,111,123
서울,강남구,합계,6068,6100,5640,3133,3187,4719,5695
서울,강남구,20대이하,136,204,286,182,120,125,153
서울,강남구,30대,1174,1393,1140,504,757,999,1237
서울,강남구,40대,2122,1886,1646,793,1074,1846,2135
서울,강남구,50대,1232,1086,970,502,531,890,1104
서울,강남구,60대,577,585,539,315,228,379,465
서울,강남구,70대이상,310,285,298,228,148,225,323
서울,강남구,기타,517,661,761,609,329,255,278
서울,송파구,합계,8427,9715,6599,2818,4023,6177,8656
서울,송파구,20대이하,252,399,399,177,146,146,300
서울,송파구,30대,1900,2349,1474,518,1124,1634,2347
서울,송파구,40대,2341,2346,1359,515,1191,1851,2546
서울,송파구,50대,1861,1918,1003,428,704,1142,1583
서울,송파구,60대,1103,1124,707,291,443,619,932
서울,송파구,70대이상,541,526,397,124,246,383,598
서울,송파구,기타,429,1053,1260,765,169,402,350
서울,강동구,합계,6447,8686,5460,2224,3634,5080,7343
서울,강동구,20대이하,179,301,276,137,132,156,191
서울,강동구,30대,1291,1944,1095,366,895,1278,1954
서울,강동구,40대,1403,1952,1185,346,1004,1473,2193
서울,강동구,50대,1280,1526,845,364,635,842,1300
서울,강동구,60대,872,1101,584,202,389,626,911
서울,강동구,70대이상,498,522,464,147,213,312,595
서울,강동구,기타,924,1340,1011,662,366,393,199
전남광주,,합계,0,0,0,0,0,0,0
전남광주,,20대이하,0,0,0,0,0,0,0
전남광주,,30대,0,0,0,0,0,0,0
전남광주,,40대,0,0,0,0,0,0,0
전남광주,,50대,0,0,0,0,0,0,0
전남광주,,60대,0,0,0,0,0,0,0
전남광주,,70대이상,0,0,0,0,0,0,0
전남광주,,기타,0,0,0,0,0,0,0
전남광주,(구)전남,합계,28033,38767,33503,22206,21736,23230,22969
전남광주,(구)전남,20대이하,1317,1847,1654,1114,972,981,900
전남광주,(구)전남,30대,5190,6285,5125,3184,3748,4126,4103
전남광주,(구)전남,40대,7013,9496,7590,4928,4687,5263,4816
전남광주,(구)전남,50대,6966,9252,7962,5494,5563,5862,5641
전남광주,(구)전남,60대,4095,5837,5728,4294,4178,4611,4525
전남광주,(구)전남,70대이상,1624,2446,2561,1683,1567,1678,1810
전남광주,(구)전남,기타,1828,3604,2883,1509,1021,709,1174
전남광주,(구)광주,합계,27449,38929,32588,17653,17396,18497,18900
전남광주,(구)광주,20대이하,1368,1768,1910,1141,948,896,790
전남광주,(구)광주,30대,5482,8058,7009,3607,4175,4693,4861
전남광주,(구)광주,40대,7201,10923,7995,4137,4494,4713,4681
전남광주,(구)광주,50대,5845,8073,5995,3569,3848,3980,4164
전남광주,(구)광주,60대,3426,4851,4035,2134,2285,2542,2629
전남광주,(구)광주,70대이상,1568,2367,2027,1180,1005,1096,1189
전남광주,(구)광주,기타,2559,2889,3617,1885,641,577,586
전남광주,목포시,합계,3542,4237,5376,3842,3065,3554,3746
전남광주,목포시,20대이하,197,201,244,195,158,121,122
전남광주,목포시,30대,672,703,865,567,438,581,555
전남광주,목포시,40대,927,1114,1405,872,738,836,916
전남광주,목포시,50대,815,981,1120,789,778,901,1057
전남광주,목포시,60대,515,633,894,599,559,668,683
